assessment_year,industry,company_id,parent_aspect,aspect,score_weight,score_value
2020,HOM Homebuilding,767610,Social Dimension,Corporate Citizenship & Philanthropy,3,0.0
2020,HOM Homebuilding,767610,Social Dimension,Human Capital Development,6,0.0
2020,HOM Homebuilding,767610,Social Dimension,Human Rights,3,0.0
2020,HOM Homebuilding,767610,Social Dimension,Labor Practice Indicators,3,14.0
2020,HOM Homebuilding,767610,Social Dimension,Occupational Health & Safety,7,0.0
2020,HOM Homebuilding,767610,Social Dimension,Social Integration & Regeneration,2,0.0
2020,HOM Homebuilding,767610,Social Dimension,Social Reporting,4,0.0
2020,HOM Homebuilding,767610,Social Dimension,Talent Attraction & Retention,6,0.0
2020,HOM Homebuilding,767610,,S&P Global ESG Score,100,5.969382
2020,HOM Homebuilding,880614,Environmental Dimension,Biodiversity,3,0.0
2020,HOM Homebuilding,880614,Environmental Dimension,Building Materials,6,0.0
2020,HOM Homebuilding,880614,Environmental Dimension,Climate Strategy,5,0.0
2020,HOM Homebuilding,880614,Environmental Dimension,Environmental Policy & Management Systems,5,14.0
2020,HOM Homebuilding,880614,Environmental Dimension,Environmental Reporting,4,0.0
2020,HOM Homebuilding,880614,Environmental Dimension,Operational Eco-Efficiency,7,0.0
2020,HOM Homebuilding,880614,Environmental Dimension,Resource Conservation & Resource Efficiency,7,0.0
2020,HOM Homebuilding,880614,Governance & Economic Dimension,Codes of Business Conduct,8,35.464
2020,HOM Homebuilding,880614,Governance & Economic Dimension,Corporate Governance,8,25.8689
2020,HOM Homebuilding,880614,Governance & Economic Dimension,Information Security/ Cybersecurity & System Availability,2,0.0
2020,HOM Homebuilding,880614,Governance & Economic Dimension,Materiality,3,0.0
2020,HOM Homebuilding,880614,Governance & Economic Dimension,Policy Influence,2,0.0
2020,HOM Homebuilding,880614,Governance & Economic Dimension,Risk & Crisis Management,6,20.3
2020,HOM Homebuilding,880614,S&P Global ESG Score,Environmental Dimension,37,1.891892
2020,HOM Homebuilding,880614,S&P Global ESG Score,Governance & Economic Dimension,29,21.119421
2020,HOM Homebuilding,880614,S&P Global ESG Score,Social Dimension,34,3.048529
2020,HOM Homebuilding,880614,Social Dimension,Corporate Citizenship & Philanthropy,3,22.55
2020,HOM Homebuilding,880614,Social Dimension,Human Capital Development,6,6.0
2020,HOM Homebuilding,880614,Social Dimension,Human Rights,3,0.0
2020,HOM Homebuilding,880614,Social Dimension,Labor Practice Indicators,3,0.0
2020,HOM Homebuilding,880614,Social Dimension,Occupational Health & Safety,7,0.0
2020,HOM Homebuilding,880614,Social Dimension,Social Integration & Regeneration,2,0.0
2020,HOM Homebuilding,880614,Social Dimension,Social Reporting,4,0.0
2020,HOM Homebuilding,880614,Social Dimension,Talent Attraction & Retention,6,0.0
2020,HOM Homebuilding,880614,,S&P Global ESG Score,100,7.861132
2020,HOM Homebuilding,32430145,Environmental Dimension,Biodiversity,3,0.0
2020,HOM Homebuilding,32430145,Environmental Dimension,Building Materials,6,11.0
2020,HOM Homebuilding,32430145,Environmental Dimension,Climate Strategy,5,71.8
2020,HOM Homebuilding,32430145,Environmental Dimension,Environmental Policy & Management Systems,5,42.95
2020,HOM Homebuilding,32430145,Environmental Dimension,Environmental Reporting,4,50.0
2020,HOM Homebuilding,32430145,Environmental Dimension,Operational Eco-Efficiency,7,67.182921
2020,HOM Homebuilding,32430145,Environmental Dimension,Resource Conservation & Resource Efficiency,7,8.4
2020,HOM Homebuilding,32430145,Governance & Economic Dimension,Codes of Business Conduct,8,44.622
2020,HOM Homebuilding,32430145,Governance & Economic Dimension,Corporate Governance,8,31.726667
2020,HOM Homebuilding,32430145,Governance & Economic Dimension,Information Security/ Cybersecurity & System Availability,2,0.0
2020,HOM Homebuilding,32430145,Governance & Economic Dimension,Materiality,3,24.25
2020,HOM Homebuilding,32430145,Governance & Economic Dimension,Policy Influence,2,0.0
2020,HOM Homebuilding,32430145,Governance & Economic Dimension,Risk & Crisis Management,6,18.0
2020,HOM Homebuilding,32430145,S&P Global ESG Score,Environmental Dimension,37,36.995417
2020,HOM Homebuilding,32430145,S&P Global ESG Score,Governance & Economic Dimension,29,27.29446
2020,HOM Homebuilding,32430145,S&P Global ESG Score,Social Dimension,34,21.332614
2020,HOM Homebuilding,32430145,Social Dimension,Corporate Citizenship & Philanthropy,3,36.65
2020,HOM Homebuilding,32430145,Social Dimension,Human Capital Development,6,36.526477
2020,HOM Homebuilding,32430145,Social Dimension,Human Rights,3,5.0
2020,HOM Homebuilding,32430145,Social Dimension,Labor Practice Indicators,3,60.4
2020,HOM Homebuilding,32430145,Social Dimension,Occupational Health & Safety,7,0.0
2020,HOM Homebuilding,32430145,Social Dimension,Social Integration & Regeneration,2,0.0
2020,HOM Homebuilding,32430145,Social Dimension,Social Reporting,4,50.0
2020,HOM Homebuilding,32430145,Social Dimension,Talent Attraction & Retention,6,0.0
2020,HOM Homebuilding,32430145,,S&P Global ESG Score,100,28.856786
2020,HOM Homebuilding,33191588,Environmental Dimension,Biodiversity,3,0.0
2020,HOM Homebuilding,33191588,Environmental Dimension,Building Materials,6,0.0
2020,HOM Homebuilding,33191588,Environmental Dimension,Climate Strategy,5,0.0
2020,HOM Homebuilding,33191588,Environmental Dimension,Environmental Policy & Management Systems,5,0.0
2020,HOM Homebuilding,33191588,Environmental Dimension,Environmental Reporting,4,0.0
2020,HOM Homebuilding,33191588,Environmental Dimension,Operational Eco-Efficiency,7,0.0
