ticker,FQ22021,FQ12021,FQ42020,FQ32020,FQ22020,FQ12020,FQ42019,FQ32019,FQ22019,FQ12019,FQ42018,FQ32018,FQ22018,FQ12018
PETR4,,,,,,,,,,,,,,
RECV3,,,,,,,,,,,,,,
PTNT4,,,,,,,,,,,,,,
PLPL3,,,,,,,,,,,,,,
PLAS3,,,,,,,,,,,,,,
PLCR11,,,,,,,,,,,,,,
PLRI11,,,,,,,,,,,,,,
FRTA3,,,,,,,,,,,,,,
PSSA3,,,,,,,,,,,,,,
FPOR11,,,,,,,,,,,,,,
POSI3,,,,,,,,,,,,,,
PRNR3,,,,,,,,,,,,,,
PFRM3,,,,,,,,,,,,,,
QUAL3,,,,,,,,,,,,,,
QAGR11,,,,,,,,,,,,,,
RADL3,,,,,,,,,,,,,,
RAIZ4,,,,,,,,,,,,,,
RAPT4,,,,,,,,,,,,,,
PQAG11,,,,,,,,,,,,,,
RRCI11,,,,,,,,,,,,,,
RSPD11,,,,,,,,,,,,,,
RBIR11,,,,,,,,,,,,,,
RBDS11,,,,,,,,,,,,,,
RBCO11,,,,,,,,,,,,,,
RBTS11,,,,,,,,,,,,,,
RCFF11,,,,,,,,,,,,,,
FIIB11,,,,,,,,,,,,,,
RCSL4,,,,,,,,,,,,,,
RDOR3,,,,,,,,,,,,,,
REDE3,,,,,,,,,,,,,,
RPMG3,,,,,,,,,,,,,,
REIT11,,,,,,,,,,,,,,
RNEW11,,,,,,,,,,,,,,
LLIS3,,,,,,,,,,,,,,
RBHG11,,,,,,,,,,,,,,
RBRS11,,,,,,,,,,,,,,
GEPA3,,,,,,,,,,,,,,
RDNI3,100,34.16666667,9.387096774,50,,,32.83333333,27.40066225,31.35135135,,,14.41666667,,
RSID3,0.354084852,,0.109905047,,,,1.274526245,,,,,,,
RAIL3,,,,,,,,,,,,,,
SNSY5,,,,,,,,,,,,,,
SADI11,,,,,,,,,,,,,,
SARE11,,,,,,,,,,,,,,
STBP3,,,,,,,,,,,,,,
SCAR3,84.99604117,29.69924812,39.31358638,10.21462183,54.98215348,47.07969432,45.31009245,98.08108108,7.659706925,82.76199804,,114.1517129,,36.94073783
SMTO3,,,,,,,,,,,,,,
AHEB3,,,,,,,,,,,,,,
SLED4,,,,,,,,,,,,,,
SHUL4,,,,,,,,,,,,,,
SCPF11,,,,,,,,,,,,,,
TEPP11,,,,,,,,,,,,,,
ASAI3,,,,,,,,,,,,,,
SEQL3,,,,,,,,,,,,,,
SEER3,,,,,,,,,,,,,,
SIMH3,,,,,,,,,,,,,,
SQIA3,,,,,,,,,,,,,,
SLCE3,,,,,,,,,,,,,,
SMFT3,,,,,,,,,,,,,,
SOND5,,,,,,,,,,,,,,
SGPS3,,,,,,,,,,,,,,
S1TE34,,,,,,,,,,,,,,
SULA11,,,,,,,,,,,,,,
AFCR11,,,,,,,,,,,,,,
SUZB3,,,,,,,,,,,,,,
SHOW3,,,,,,,,,,,,,,
TASA4,,,,,,,,,,,,,,
TRAD3,,,,,,,,,,,,,,
TECN3,,,,,,,,,,,,,,
TCSA3,,,,,,,,,,,,,,
TCNO4,,,,,,,,,,,,,,
TGMA3,,,,,,,,,,,,,,
TEKA4,,,,,,,,,,,,,,
TKNO4,,,,,,,,,,,,,,
TELB4,,,,,,,,,,,,,,
VIVT3,,,,,,,,,,,,,,
LAND3,,,,,,,,,,,,,,
TXRX4,,,,,,,,,,,,,,
TIMS3,,,,,,,,,,,,,,
TORD11,,,,,,,,,,,,,,
TOTS3,,,,,,,,,,,,,,
TFCO4,,,,,,,,,,,,,,
TAEE11,,,,,,,,,,,,,,
TCPF11,,,,,,,,,,,,,,
TTEN3,,,,,,,,,,,,,,
LUXM4,,,,,,,,,,,,,,
TRIS3,,,,,,,,,,,,,,
TPIS3,,,,,,,,,,,,,,
CRPG5,,,,,,,,,,,,,,
TRXB11,,,,,,,,,,,,,,
TRXF11,,,,,,,,,,,,,,
TUPY3,,,,,,,,,,,,,,
UGPA3,,,,,,,,,,,,,,
UCAS3,,,,,,,,,,,,,,
FIQE3,,,,,,,,,,,,,,
UNIP6,,,,,,,,,,,,,,
FLMA11,,,,,,,,,,,,,,
URPR11,,,,,,,,,,,,,,
USIM5,1.473765432,5.856164384,2.945564516,50.15,,,13.98529412,,22.35,62.75,8.232142857,9.904761905,,24.81818182
VALE3,3.602099237,4.109479866,23.25797872,4.861019737,13.57281553,56.86842105,,9.474206349,,,4.553571429,13.47297297,206.625,10.76785714
VLID3,,,,,,,,,,,,,,
VGIP11,,,,,,,,,,,,,,
VGIR11,,,,,,,,,,,,,,
VAMO3,,,,,,,,,,,,,,
RVBI11.REIT,,,,,,,,,,,,,,
VERE11,,,,,,,,,,,,,,
VCJR11,,,,,,,,,,,,,,
VIIA3,,,,,,,,,,,,,,
FIVN11,,,,,,,,,,,,,,
VINO11,,,,,,,,,,,,,,
VIGT11,,,,,,,,,,,,,,
VILG11,,,,,,,,,,,,,,
VISC11,,,,,,,,,,,,,,
VITT3,,,,,,,,,,,,,,
VIVA3,,,,,,,,,,,,,,
VIVR3,,,,,,,,,,,,,,
VOTS11,,,,,,,,,,,,,,
VULC3,,,,,,,,,,,,,,
WEGE3,,,,,,,,,,,,,,
WEST3,,,,,,,,,,,,,,
MWET4,,,,,,,,,,,,,,
WHRL4,,,,,,,,,,,,,,
WSON33,,,,,,,,,,,,,,
WIZS3,,,,,,,,,,,,,,
WLMM4,,,,,,,,,,,,,,
XPCI11,,,,,,,,,,,,,,
XPIN11,,,,,,,,,,,,,,
XPLG11,,,,,,,,,,,,,,
XPML11,,,,,,,,,,,,,,
XPPR11,,,,,,,,,,,,,,
XPSF11,,,,,,,,,,,,,,
ARCT11,,,,,,,,,,,,,,
YDUQ3,,,,,,,,,,,,,,
